ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 480118, 383909, 594983, 405017, 374732, 593759, 406241, 545885, 506120,   3269,995
 480993, 465966, 505068, 494932, 463432, 510137, 489863, 512670, 474655,   2762,816
 481010, 190717, 787341, 212659, 188185, 792405, 207595, 512660, 474680,   1185,130
 481145, 359804, 617125, 382875, 355811, 620674, 379326, 519965, 482255,   2254,506
 481828, 247155, 719026, 280974, 242098, 721238, 278762, 525285, 488940,   3164,316
 482350, 312657, 653555, 346445, 306101, 654059, 345941, 532780, 497480,   1983,174
 482785, 588902, 393681, 606319, 580396, 392061, 607939, 542530, 508100,   2469,800
 482950, 574501, 412381, 587619, 567681, 412381, 587619, 534100, 500000,   1906,829
 482983, 381675, 583769, 416231, 377486, 586387, 413613, 520945, 486910,   1910,555
 483870,  32258, 935483,  64517,  32258, 941935,  58065, 500000, 467740,    155,579
 483955, 606767, 369894, 630106, 601516, 371061, 628939, 526255, 494165,   1714,362
 484020, 426288, 548541, 451459, 419097, 547742, 452258, 535955, 503995,   2503,624
 484423, 304253, 664589, 335411, 301815, 668382, 331618, 512190, 481035,   3691,467
 485275, 306999, 670478, 329522, 298683, 668052, 331948, 541580, 512130,   2886,463
 486025, 507267, 472605, 527395, 501304, 472232, 527768, 529815, 501865,   2683,890
 486338, 219945, 758196, 241804, 214480, 758196, 241804, 527325, 500000,    732,650
 486560, 282078, 693906, 306094, 276344, 693548, 306452, 528670, 501790,   2790,109
 487133, 531914, 443376, 556624, 526767, 443376, 556624, 525735, 500000,   2914,346
 487218, 245910, 729550, 270450, 243353, 732106, 267894, 512785, 487220,   1956,406
 487320, 578334, 392420, 607580, 575052, 394210, 605790, 516410, 491050,   3351,39
 487345, 346348, 629067, 370933, 339840, 627621, 372379, 532540, 507230,   1383,372
 487475, 184368, 794088, 205912, 180360, 795090, 204910, 520040, 494990,   1996,358
 488015, 251369, 707534, 292466, 243150, 704109, 295891, 541095, 517125,   1460,659
 488575, 468257, 510919, 489081, 466226, 513458, 486542, 510155, 487305,   1969,55
 488820, 279964, 697674, 302326, 274150, 696332, 303668, 529070, 506710,   2236,616
 489118, 364463, 606252, 393748, 360506, 606648, 393352, 519785, 498020,   2527,488
 489140, 371469, 599565, 400435, 368573, 601013, 398987, 514480, 492760,   1381,991
 489230, 332549, 640814, 359186, 330983, 643556, 356444, 507830, 486290,   5106,187
 491598, 445274, 526709, 473291, 443780, 528576, 471424, 507470, 490665,   2677,68
 491678, 210798, 752218, 247782, 210428, 755177, 244823, 501850, 485205,   2704,257
 491840, 334058, 642002, 357998, 332970, 644178, 355822, 505440, 489120,    919,981
